asin,body,date_posted,is_verified,num_helpfuls,profile_url,stars
B0756YXM7H,I have tried a few of these adapters and so far this is my favorite. It is about as small as it could be and constructed very well. Working 10 hr days and listening to the music with my headphones drains my battery so quickly. This adaptor not only lets me keep my phone charge but I can also enjoy my favorite music. I'm pleased and I think anyone who purchased this will be happy with it!,2017-09-05,False,0,/gp/profile/amzn1.account.AH6RO6BFZZYARQRKEU6HKLUGVOQQ/ref=cm_cr_getr_d_pdp?ie=UTF8,5.0
B0756YXM7H,"Great product, perfect for charging and connecting your earphones together. It's also great if you don't like the wireless earphones , you can just insert your adapter and it's ready to use with your traditional earphones. With this adapter you can keep enjoying your music while charging your phone.The material looks and feels sturdy and has been working perfectly for me. I would recommend to anyone that needs one",2017-09-02,False,0,/gp/profile/amzn1.account.AGSJF7HEBVYNKBGV7U5BK6EMSXOQ/ref=cm_cr_getr_d_pdp?ie=UTF8,5.0
B0756YXM7H,"Item does not work. Using an iPhone 7+ with iOS 11.01, device does not recognise this accessory.Very disappointed with this product.",2017-09-29,True,1,/gp/profile/amzn1.account.AFD2EGH2OHIQZBQGRLLZ7SRBCHGQ/ref=cm_cr_getr_d_pdp?ie=UTF8,1.0
B0756YXM7H,I love this so much! I bought another one on here and it didn't work at all so I had to return it! I got this one super fast and it works perfect I love that I can charge my phone and charge it at the same time! I always watch Netflix at night but that's right when my phone dies so it's either keep everyone up or charge my phone so now I don't have to decide!!,2017-09-07,False,0,/gp/profile/amzn1.account.AFZTY6RQ63TO5GLV5RUMXZ2RFS2A/ref=cm_cr_getr_d_pdp?ie=UTF8,5.0
B0756YXM7H,"There's better out there does exactly what it is supposed to do,nothing more,nothing less Very inexpensive in comparison to other options on the market I absolutely love this product Brilliant device! Super fast shipping.",2017-09-04,False,0,/gp/profile/amzn1.account.AE5FXNAEDCWZFT7Q3WWWJGZZ3EKQ/ref=cm_cr_getr_d_pdp?ie=UTF8,5.0
B0756YXM7H,"Works well on both ends, I have no complaints. It's just really a new thing for me, I've been used to plugging headphones right into the phone's jack right away out of habit.",2017-09-03,False,0,/gp/profile/amzn1.account.AECXVI5B354DC4D3HCZPLMULPV6Q/ref=cm_cr_getr_d_pdp?ie=UTF8,5.0
B0756YXM7H,"These work great. Appear to be the exact same quality as the one that was part of my IPhone 7. I find no difference in the sound quality.Item worked as expected. However, I had to take my protective case off to plug the item into my phone.",2017-09-02,False,0,/gp/profile/amzn1.account.AFOWAGULXZORQCBYJLD5HLHPYCIQ/ref=cm_cr_getr_d_pdp?ie=UTF8,5.0
B0756YXM7H,It is a scam it doesn’t work on the iPhone 7..... Don’t buy it what so ever,2017-10-01,True,1,/gp/profile/amzn1.account.AG7DXGYWHH6MTJ6XB62JEHQTCANA/ref=cm_cr_getr_d_pdp?ie=UTF8,1.0
B0756YXM7H,"This is my 2nd try to buy this kind of product on Amazon, and it does not work again!!! It says it is not supported by Iphone. Had to go to Apple to buy their product.",2017-09-25,True,3,/gp/profile/amzn1.account.AH2D7NMFQXUNGTPOOORKKOSANH6A/ref=cm_cr_getr_d_pdp?ie=UTF8,1.0
B0756YXM7H,Its a small device so it fits in my pocket with my phone. Easily portable for use anytime too.The phone charges just as fast as the original cord. We were also able to use this with headphones as well as the original apple headphones that came with the phone.,2017-09-02,False,0,/gp/profile/amzn1.account.AHJXD5XRXJU5DXMOIJV7VSNUH6BQ/ref=cm_cr_getr_d_pdp?ie=UTF8,5.0
B0756YXM7H,"""Quick delivery !!! Thank you for selling an iPhone 7plus charger that works with the iOS 10.3 update. I've used it all day at work - listening to music while charging my phone ... #life at work just got better! """,2017-09-05,False,0,/gp/profile/amzn1.account.AGUC6XUJ746U27M55DMXU75F7XIQ/ref=cm_cr_getr_d_pdp?ie=UTF8,5.0
B0756YXM7H,Good adapter.Haven't had any trouble with it like others seem to have. Its an everyday use for me to have in my car to charge and hear music and it works great. Simple awesome solution with the iPhone 7.,2017-09-06,False,0,/gp/profile/amzn1.account.AEAUB4BC6NJOPYJZPLLNMP4ASDAA/ref=cm_cr_getr_d_pdp?ie=UTF8,5.0
B0756YXM7H,It's perfect for my IPhone 7. I use my phone throughout the day so I need to eventually charge and still listen to my stuff.,2017-09-05,False,0,/gp/profile/amzn1.account.AHMCG4Q7N7BTC5SWMNBKUWRTALJA/ref=cm_cr_getr_d_pdp?ie=UTF8,5.0
B0756YXM7H,"Connector and my phone shell seamless, very perfect.Charging my iphone 7s really fast, they are still very good! Strongly recommend this product.",2017-09-05,False,0,/gp/profile/amzn1.account.AHUYXRTFNGIJAE2OZZJD5TJNFOPA/ref=cm_cr_getr_d_pdp?ie=UTF8,5.0
B0756YXM7H,"Ordered it for a friend as a gift,Works as expected and no complaints for the price,works great.",2017-09-03,False,0,/gp/profile/amzn1.account.AHEBF43EN4ZOVS5CEUPKA5PCF5DQ/ref=cm_cr_getr_d_pdp?ie=UTF8,5.0
B0756YXM7H,Pretty good! It works as expected (charging + music).,2017-09-05,False,0,/gp/profile/amzn1.account.AGMSE3W62OU2TIW7IGQQ4I2Q5LIQ/ref=cm_cr_getr_d_pdp?ie=UTF8,5.0
B0756YXM7H,I'm delighted I ordered this 2 in 1 Adapter I can listen to my favourite music or watch videos or movies in my phone while charging which I can't normally do before as I need to wait for my phone to charge 1st before I can even use my headset again.The size of the adapter is small enough to put in my bag or take it with me everywhere I go.Cool stuff.,2017-09-07,False,0,/gp/profile/amzn1.account.AGKHRBCZ3Z36AKMNBMBUSHIVPU4A/ref=cm_cr_getr_d_pdp?ie=UTF8,5.0
B0756YXM7H,"With this iPhone lightning port splitter I can now charge my phone AND listen to my headphones. No idea why apple decided to get rid of the phone jack headphone port,I highly recommend it!",2017-09-19,False,0,/gp/profile/amzn1.account.AHSKJAKB6JLUNGDNR2OOFXHDRQRA/ref=cm_cr_getr_d_pdp?ie=UTF8,5.0
B0756YXM7H,Very nice product! Exectly what I'm looking for. the quality is super good and better quality than most of those cheap stuff on Amazon. I had to return similar stuff twice but I don't need to return this one now because it's exactly what I wanted.,2017-09-08,False,0,/gp/profile/amzn1.account.AGE2QW6HW66NKWGTXKOMDAJAN6XQ/ref=cm_cr_getr_d_pdp?ie=UTF8,5.0
B0756YXM7H,"I can put my music in my ears and zone out and get all creative with my job. Ever since they removed the 3.5 mm port from the iphone 7, it has been a pain since you can't charge your phone and listen to music at the same time. This product fixes that.",2017-09-08,False,0,/gp/profile/amzn1.account.AF5FRYSX657T7FYFFDSRZOQACNJQ/ref=cm_cr_getr_d_pdp?ie=UTF8,5.0
B0756YXM7H,The audio quality is better and now the audio syncs exactly with the video. Massive improvement and the quality of the device seems good. It seems like it will last a long time!!This works very well and I have had no problems.,2017-09-07,False,0,/gp/profile/amzn1.account.AHALAHJ3JVTOK2IG7UD4WZ5DQSVQ/ref=cm_cr_getr_d_pdp?ie=UTF8,5.0
B0756YXM7H,I ordered this iPhone 7 splitter for my sister. This thing is very handy for multiple uses at once. She is very pleased with it. It works great and seems to be a good quality splitter. Can't go wrong with it. Great price for a great product.,2017-09-07,False,0,/gp/profile/amzn1.account.AGAFSWXL67TLZ6PCFSCDHS5MZ5CA/ref=cm_cr_getr_d_pdp?ie=UTF8,5.0
B0756YXM7H,It's a prefect adapter that solve my big problem that I cannot charge and listen to music at the same time. I hate this terrible design for iPhone 7 which make me furious. It's helpful and worth the price.,2017-09-07,False,0,/gp/profile/amzn1.account.AEZGKB7FHI5QWLVNL2DA25XH7HKA/ref=cm_cr_getr_d_pdp?ie=UTF8,5.0
B0756YXM7H,This fixed problem that my iPhone 7 Plus couldn't charge while listening to music with my earbuds at the same time. I brought this adapter. It's very convenient to use and has saved my time to charge!,2017-09-09,False,0,/gp/profile/amzn1.account.AH3HZVLVACSWLQLOIATSQ26INXMA/ref=cm_cr_getr_d_pdp?ie=UTF8,5.0
B0756YXM7H,"I prefer wired headphone instead of wireless headphone. This little one solves the problem between charging and listening. Great product, I would recommend this product.",2017-09-08,False,0,/gp/profile/amzn1.account.AF3H4VBR2YPVNM2RHPGN2THDZC4A/ref=cm_cr_getr_d_pdp?ie=UTF8,5.0
B0756YXM7H,"Connects wonderfully with my iphone7 and does the job, exactly what i needed. Perfect sound quality and fits just right with the phone and headphone jack.",2017-09-09,False,0,/gp/profile/amzn1.account.AHFOC464GZRAKPSYZQ6XGLVJ66TQ/ref=cm_cr_getr_d_pdp?ie=UTF8,5.0
B0756YXM7H,"At last my wife can listen to music and charge her iPhone 7+ at the same time, now she is happy(so am I). The audio quality has no degradation.",2017-09-19,False,0,/gp/profile/amzn1.account.AGJU4QYDB6J7JDN3XFROGASVLVMQ/ref=cm_cr_getr_d_pdp?ie=UTF8,5.0
B0756YXM7H,Nice quality and works well. Its a small device so it fits in my pocket with my phone 7. Easily portable for use anytime too. Would recommend to anyone interested.,2017-09-07,False,0,/gp/profile/amzn1.account.AHOZIZW7ELJN2KEGOEQPOH3JUHHA/ref=cm_cr_getr_d_pdp?ie=UTF8,5.0
